Weight(g),Moisture(%),Hardness,Magnetic,Biodegradable,WasteType
36,3,4,0,0,Paper
31,7,3,0,0,Plastic
253,3,9,1,0,Metal
83,76,3,0,1,Organic
65,3,6,0,0,Glass
47,4,5,0,0,Paper
30,5,2,0,0,Plastic
200,1,8,1,0,Metal
99,74,3,0,1,Organic
51,2,7,0,0,Glass
41,5,3,0,0,Paper
39,5,1,0,0,Plastic
182,3,9,1,0,Metal
80,69,3,0,1,Organic
64,6,7,0,0,Glass
51,3,5,0,0,Paper
36,7,2,0,0,Plastic
289,1,8,1,0,Metal
86,58,1,0,1,Organic
80,3,6,0,0,Glass
44,4,5,0,0,Paper
20,4,3,0,0,Plastic
282,3,10,1,0,Metal
101,63,1,0,1,Organic
50,5,6,0,0,Glass
36,3,4,0,0,Paper
34,4,3,0,0,Plastic
187,2,10,1,0,Metal
98,72,3,0,1,Organic
72,6,5,0,0,Glass
38,3,5,0,0,Paper
38,4,3,0,0,Plastic
129,3,10,1,0,Metal
105,59,2,0,1,Organic
53,2,6,0,0,Glass
46,3,4,0,0,Paper
16,8,1,0,0,Plastic
290,1,9,1,0,Metal
119,72,2,0,1,Organic
54,3,5,0,0,Glass
60,4,4,0,0,Paper
10,4,3,0,0,Plastic
205,4,10,1,0,Metal
125,78,1,0,1,Organic
62,3,7,0,0,Glass
38,6,3,0,0,Paper
37,6,1,0,0,Plastic
171,4,9,1,0,Metal
89,81,1,0,1,Organic
59,2,7,0,0,Glass
41,6,4,0,0,Paper
18,3,2,0,0,Plastic
209,5,9,1,0,Metal
113,81,3,0,1,Organic
66,2,5,0,0,Glass
43,4,5,0,0,Paper
40,5,1,0,0,Plastic
147,5,9,1,0,Metal
92,78,2,0,1,Organic
72,6,7,0,0,Glass
38,6,5,0,0,Paper
16,5,1,0,0,Plastic
231,1,10,1,0,Metal
129,80,3,0,1,Organic
57,4,6,0,0,Glass
37,5,5,0,0,Paper
20,8,1,0,0,Plastic
196,5,9,1,0,Metal
112,68,2,0,1,Organic
70,4,7,0,0,Glass
39,4,4,0,0,Paper
31,6,3,0,0,Plastic
164,5,10,1,0,Metal
89,67,3,0,1,Organic
45,4,6,0,0,Glass
41,6,5,0,0,Paper
29,8,2,0,0,Plastic
239,4,9,1,0,Metal
113,61,3,0,1,Organic
75,3,7,0,0,Glass
37,5,5,0,0,Paper
31,8,3,0,0,Plastic
205,1,8,1,0,Metal
113,64,1,0,1,Organic
57,3,5,0,0,Glass
36,4,4,0,0,Paper
29,3,2,0,0,Plastic
226,5,8,1,0,Metal
115,77,2,0,1,Organic
76,5,5,0,0,Glass
39,3,3,0,0,Paper
34,6,1,0,0,Plastic
165,5,9,1,0,Metal
73,72,1,0,1,Organic
52,5,5,0,0,Glass
60,6,5,0,0,Paper
26,7,3,0,0,Plastic
201,4,10,1,0,Metal
122,78,3,0,1,Organic
72,6,6,0,0,Glass
40,6,4,0,0,Paper
18,4,3,0,0,Plastic
190,5,9,1,0,Metal
110,62,2,0,1,Organic
73,2,7,0,0,Glass
44,4,4,0,0,Paper
20,5,3,0,0,Plastic
140,2,8,1,0,Metal
84,67,3,0,1,Organic
54,3,5,0,0,Glass
48,6,4,0,0,Paper
27,6,2,0,0,Plastic
135,2,9,1,0,Metal
94,83,3,0,1,Organic
46,6,6,0,0,Glass
50,3,4,0,0,Paper
19,6,2,0,0,Plastic
257,5,10,1,0,Metal
127,62,2,0,1,Organic
59,4,6,0,0,Glass
50,3,4,0,0,Paper
20,8,3,0,0,Plastic
223,2,9,1,0,Metal
128,59,3,0,1,Organic
79,2,6,0,0,Glass
53,3,3,0,0,Paper
30,6,1,0,0,Plastic
238,2,8,1,0,Metal
86,67,2,0,1,Organic
58,5,6,0,0,Glass
45,6,4,0,0,Paper
34,6,2,0,0,Plastic
140,4,8,1,0,Metal
117,72,1,0,1,Organic
67,3,7,0,0,Glass
37,3,3,0,0,Paper
40,4,1,0,0,Plastic
125,5,8,1,0,Metal
85,59,2,0,1,Organic
52,6,5,0,0,Glass
49,5,4,0,0,Paper
15,7,3,0,0,Plastic
149,2,9,1,0,Metal
76,73,1,0,1,Organic
64,6,7,0,0,Glass
47,6,5,0,0,Paper
16,3,3,0,0,Plastic
296,2,8,1,0,Metal
114,79,2,0,1,Organic
52,6,5,0,0,Glass
46,6,5,0,0,Paper
21,3,3,0,0,Plastic
285,3,8,1,0,Metal
124,68,2,0,1,Organic
51,5,6,0,0,Glass
55,6,5,0,0,Paper
14,6,1,0,0,Plastic
253,3,10,1,0,Metal
121,84,3,0,1,Organic
75,5,6,0,0,Glass
58,5,4,0,0,Paper
37,4,1,0,0,Plastic
191,4,8,1,0,Metal
118,69,3,0,1,Organic
69,4,5,0,0,Glass
50,5,3,0,0,Paper
25,4,2,0,0,Plastic
186,3,9,1,0,Metal
126,74,3,0,1,Organic
62,6,5,0,0,Glass
51,4,3,0,0,Paper
17,8,2,0,0,Plastic
245,5,8,1,0,Metal
114,70,3,0,1,Organic
76,5,5,0,0,Glass
37,5,3,0,0,Paper
22,8,1,0,0,Plastic
198,5,9,1,0,Metal
100,72,3,0,1,Organic
67,5,7,0,0,Glass
52,5,4,0,0,Paper
32,6,2,0,0,Plastic
198,3,8,1,0,Metal
77,78,1,0,1,Organic
65,2,7,0,0,Glass
52,4,3,0,0,Paper
16,8,2,0,0,Plastic
190,5,10,1,0,Metal
108,64,1,0,1,Organic
57,4,5,0,0,Glass
46,4,4,0,0,Paper
10,8,3,0,0,Plastic
152,3,8,1,0,Metal
73,72,2,0,1,Organic
53,5,5,0,0,Glass
35,5,4,0,0,Paper
25,6,2,0,0,Plastic
167,1,9,1,0,Metal
130,82,2,0,1,Organic
52,2,6,0,0,Glass
50,3,5,0,0,Paper
30,8,1,0,0,Plastic
158,2,10,1,0,Metal
130,64,1,0,1,Organic
60,2,7,0,0,Glass
59,6,5,0,0,Paper
29,7,1,0,0,Plastic
253,4,9,1,0,Metal
128,69,2,0,1,Organic
72,4,7,0,0,Glass
54,3,5,0,0,Paper
40,8,1,0,0,Plastic
173,2,9,1,0,Metal
112,57,1,0,1,Organic
60,3,7,0,0,Glass
37,4,3,0,0,Paper
23,6,3,0,0,Plastic
272,4,9,1,0,Metal
72,62,2,0,1,Organic
63,5,5,0,0,Glass
56,4,4,0,0,Paper
35,8,3,0,0,Plastic
289,2,9,1,0,Metal
77,72,1,0,1,Organic
54,4,5,0,0,Glass
37,3,3,0,0,Paper
35,5,3,0,0,Plastic
265,3,9,1,0,Metal
77,69,3,0,1,Organic
64,5,6,0,0,Glass
51,6,4,0,0,Paper
12,7,1,0,0,Plastic
230,3,10,1,0,Metal
86,55,1,0,1,Organic
59,6,7,0,0,Glass
35,5,5,0,0,Paper
11,4,2,0,0,Plastic
252,4,9,1,0,Metal
81,73,2,0,1,Organic
76,2,6,0,0,Glass
46,6,4,0,0,Paper
20,8,1,0,0,Plastic
161,3,9,1,0,Metal
114,70,2,0,1,Organic
70,6,5,0,0,Glass
49,3,4,0,0,Paper
18,5,1,0,0,Plastic
223,5,8,1,0,Metal
112,82,3,0,1,Organic
74,5,5,0,0,Glass
41,5,5,0,0,Paper
34,6,3,0,0,Plastic
233,1,8,1,0,Metal
87,72,1,0,1,Organic
63,5,7,0,0,Glass
50,3,3,0,0,Paper
30,7,1,0,0,Plastic
160,3,10,1,0,Metal
70,72,2,0,1,Organic
50,3,5,0,0,Glass
49,3,5,0,0,Paper
36,4,2,0,0,Plastic
194,5,10,1,0,Metal
87,68,2,0,1,Organic
75,3,6,0,0,Glass
52,4,4,0,0,Paper
16,7,3,0,0,Plastic
154,1,9,1,0,Metal
119,80,2,0,1,Organic
66,6,6,0,0,Glass
35,5,5,0,0,Paper
19,7,3,0,0,Plastic
288,4,8,1,0,Metal
98,72,2,0,1,Organic
67,4,7,0,0,Glass
59,6,4,0,0,Paper
39,5,1,0,0,Plastic
298,2,10,1,0,Metal
94,62,2,0,1,Organic
47,4,7,0,0,Glass
50,6,4,0,0,Paper
31,8,1,0,0,Plastic
246,1,8,1,0,Metal
102,85,3,0,1,Organic
66,2,6,0,0,Glass
38,6,3,0,0,Paper
33,4,2,0,0,Plastic
287,2,8,1,0,Metal
100,80,2,0,1,Organic
66,6,7,0,0,Glass
47,3,4,0,0,Paper
37,8,3,0,0,Plastic
217,3,10,1,0,Metal
115,83,2,0,1,Organic
79,2,7,0,0,Glass
37,4,5,0,0,Paper
31,5,1,0,0,Plastic
143,4,8,1,0,Metal
118,75,3,0,1,Organic
51,5,5,0,0,Glass
57,5,3,0,0,Paper
11,5,1,0,0,Plastic
195,3,9,1,0,Metal
97,59,1,0,1,Organic
78,5,7,0,0,Glass
56,4,3,0,0,Paper
15,3,3,0,0,Plastic
217,5,10,1,0,Metal
85,70,3,0,1,Organic
54,3,6,0,0,Glass
55,5,4,0,0,Paper
18,8,1,0,0,Plastic
239,3,10,1,0,Metal
104,60,1,0,1,Organic
73,4,7,0,0,Glass
44,6,5,0,0,Paper
18,6,2,0,0,Plastic
170,4,9,1,0,Metal
76,62,2,0,1,Organic
67,6,6,0,0,Glass
57,5,3,0,0,Paper
36,8,2,0,0,Plastic
190,1,10,1,0,Metal
125,76,3,0,1,Organic
48,6,7,0,0,Glass
50,5,3,0,0,Paper
29,5,1,0,0,Plastic
282,2,10,1,0,Metal
86,76,3,0,1,Organic
53,2,7,0,0,Glass
55,3,4,0,0,Paper
35,6,1,0,0,Plastic
268,3,10,1,0,Metal
78,57,2,0,1,Organic
65,5,5,0,0,Glass
41,4,5,0,0,Paper
38,5,3,0,0,Plastic
248,3,8,1,0,Metal
86,84,2,0,1,Organic
63,4,5,0,0,Glass
49,3,3,0,0,Paper
34,4,3,0,0,Plastic
292,4,10,1,0,Metal
93,57,2,0,1,Organic
45,4,7,0,0,Glass
38,6,4,0,0,Paper
31,8,3,0,0,Plastic
187,5,9,1,0,Metal
122,75,2,0,1,Organic
51,3,6,0,0,Glass
35,5,5,0,0,Paper
17,8,1,0,0,Plastic
282,4,10,1,0,Metal
89,75,2,0,1,Organic
52,3,5,0,0,Glass
36,5,4,0,0,Paper
13,3,1,0,0,Plastic
257,2,9,1,0,Metal
99,66,3,0,1,Organic
79,5,7,0,0,Glass
58,4,4,0,0,Paper
30,3,2,0,0,Plastic
277,4,9,1,0,Metal
72,77,2,0,1,Organic
58,5,6,0,0,Glass
42,5,3,0,0,Paper
31,5,3,0,0,Plastic
285,3,8,1,0,Metal
95,63,1,0,1,Organic
52,5,5,0,0,Glass
56,4,5,0,0,Paper
30,7,1,0,0,Plastic
132,3,8,1,0,Metal
78,80,3,0,1,Organic
58,2,7,0,0,Glass
41,4,3,0,0,Paper
20,4,3,0,0,Plastic
120,3,8,1,0,Metal
78,72,2,0,1,Organic
56,2,7,0,0,Glass
35,4,3,0,0,Paper
21,4,3,0,0,Plastic
202,1,8,1,0,Metal
86,56,1,0,1,Organic
71,6,5,0,0,Glass
58,3,4,0,0,Paper
